comment_id,Comment,Label,Clause,targets_comment_id,Date,stakeholder_type
1001,"Clause 4(b) appears ambiguous regarding the definition of ‘related party transactions’. We recommend aligning this definition with Section 188 of the Companies Act, 2013, to avoid confusion for compliance professionals.",CLAUSE_FEEDBACK,Clause 4(b),,2025-07-23,Auditor
1002,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. This will directly impact stakeholders.,AGREE,Clause 4(b),1001,2025-07-25,Industry Association
1003,We welcome the direction in Clause 4(b). It improves consistency and transparency. safe-harbour.,AGREE,Clause 4(b),1001,2025-08-24,Auditor
1004,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners. Please consider festival season constraints.,AGREE,Clause 4(b),1001,2025-08-24,Auditor
1005,We agree with the proposed alignment in Clause 4(b); it will harmonize reporting across filings. Please consider festival season constraints. timeline of 10 days.,AGREE,Clause 4(b),1001,2025-08-27,Professional Body
1006,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners. This will directly impact stakeholders. phased implementation.,AGREE,Clause 4(b),1001,2025-07-25,Consultant
1007,We welcome the direction in Clause 4(b). It improves consistency and transparency. additional reporting near cutoff.,AGREE,Clause 4(b),1001,2025-08-25,Professional Body
1008,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. Data privacy safeguards should be retained.,AGREE,Clause 4(b),1001,2025-08-10,Individual
1009,We welcome the direction in Clause 4(b). It improves consistency and transparency. Data privacy safeguards should be retained.,AGREE,Clause 4(b),1001,2025-08-25,Industry Association
1010,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities.,AGREE,Clause 4(b),1001,2025-08-23,Consultant
1011,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners. post-facto disclosure.,AGREE,Clause 4(b),1001,2025-08-21,Company
1012,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners. Data privacy safeguards should be retained.,AGREE,Clause 4(b),1001,2025-08-31,Auditor
1013,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. Industry transition time will be essential. CSR expenditure classification.,AGREE,Clause 4(b),1001,2025-07-24,Consultant
1014,We welcome the direction in Clause 4(b). It improves consistency and transparency. Industry transition time will be essential.,AGREE,Clause 4(b),1001,2025-07-25,Industry Association
1015,We agree with the proposed alignment in Clause 4(b); it will harmonize reporting across filings.,AGREE,Clause 4(b),1001,2025-08-14,Individual
1016,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners.,AGREE,Clause 4(b),1001,2025-09-06,Consultant
1017,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. Please consider festival season constraints. transparency for shareholders.,AGREE,Clause 4(b),1001,2025-07-29,Individual
1018,We agree with the proposed alignment in Clause 4(b); it will harmonize reporting across filings. Industry transition time will be essential.,AGREE,Clause 4(b),1001,2025-08-18,Startup
1019,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. Data privacy safeguards should be retained. safe-harbour.,AGREE,Clause 4(b),1001,2025-08-16,Consultant
1020,We agree with the proposed alignment in Clause 4(b); it will harmonize reporting across filings. This will directly impact stakeholders.,AGREE,Clause 4(b),1001,2025-09-03,Company
1021,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. Industry transition time will be essential. post-facto disclosure.,AGREE,Clause 4(b),1001,2025-08-13,Company
1022,We welcome the direction in Clause 4(b). It improves consistency and transparency. This will directly impact stakeholders.,AGREE,Clause 4(b),1001,2025-07-22,Industry Association
1023,We agree with the proposed alignment in Clause 4(b); it will harmonize reporting across filings.,AGREE,Clause 4(b),1001,2025-07-30,Professional Body
1024,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners.,AGREE,Clause 4(b),1001,2025-08-12,Consultant
1025,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. audit committee oversight.,AGREE,Clause 4(b),1001,2025-08-29,Company
1026,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. Data privacy safeguards should be retained.,AGREE,Clause 4(b),1001,2025-09-07,Auditor
1027,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners.,AGREE,Clause 4(b),1001,2025-08-22,Company
1028,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners. post-facto disclosure.,AGREE,Clause 4(b),1001,2025-07-23,Consultant
1029,Agree with the draft language in Clause 4(b); implementation should be straightforward for most entities. This will directly impact stakeholders. safe-harbour.,AGREE,Clause 4(b),1001,2025-09-05,Consultant
1030,Support the approach under Clause 4(b). This change will reduce ambiguity for practitioners. This will directly impact stakeholders.,AGREE,Clause 4(b),1001,2025-08-22,Individual
1031,We welcome the direction in Clause 4(b). It improves consistency and transparency. Data privacy safeguards should be retained. safe-harbour.,AGREE,Clause 4(b),1001,2025-08-12,Startup
1032,We agree with the proposed alignment in Clause 4(b); it will harmonize reporting across filings. regulatory arbitrage near thresholds.,AGREE,Clause 4(b),1001,2025-08-05,Professional Body
1033,We agree with the proposed alignment in Clause 4(b); it will harmonize reporting across filings. Data privacy safeguards should be retained. CSR expenditure classification.,AGREE,Clause 4(b),1001,2025-08-21,Startup
